id_legislator_sil,legislator_chamber_sil,legislator_commission_sil,legislator_election_sil,legislator_image_sil,legislator_mail_sil,legislator_name_sil,legislator_party_sil,legislator_state_sil,legislator_twitter_senate
9219169,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219169.jpg,ariadna.montiel@congreso.gob.mx,Ariadna Montiel Reyes,MORENA,Distrito Federal,DipsMorenaMx
9219339,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219339.jpg,diputadocanedo@gmail.com,Roberto Alejandro CaÌ±edo JimÌ©nez,MORENA,Baja California,DipsMorenaMx
9219341,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219341.jpg,alfredo.basurto@congreso.gob.mx,Alfredo Basurto RomÌÁn,MORENA,Zacatecas,DipsMorenaMx
9219343,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219343.jpg,rogerio.castro@congreso.gob.mx,Rogerio Castro VÌÁzquez,MORENA,Yucat&#xE1;n,rojojurio
9219345,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219345.jpg,angelantonio.hernandez@congreso.gob.mx,Ìngel Antonio HernÌÁndez de la Piedra,MORENA,Distrito Federal,AngelHdz_Morena
9219347,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219347.jpg,concepcion.villa@congreso.gob.mx,ConcepciÌ_n Villa GonzÌÁlez,MORENA,M&#xE9;xico,DipConyVilla
9219432,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219432.jpg,juan.romero@congreso.gob.mx,Juan Romero Tenorio,MORENA,Distrito Federal,morenagam2
9219434,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219434.jpg,virgilio.caballero@congreso.gob.mx,Virgilio Dante Caballero Pedraza,MORENA,Distrito Federal,VirgilioCaballe
9219436,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219436.jpg,jesus.alvarez@congreso.gob.mx,JesÌ¼s Emiliano Ìlvarez LÌ_pez,MORENA,Distrito Federal,emilianoalvarez
